Name,Link,Podcast,Number,Löschen?,Kein Podcast?,Privat?,Zeile OK?,100.00%,Podcasts bis jetzt (zum nachschlagen):,
ep182.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/ep182.txt,EP,182,,,,TRUE,,,
ep183.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/ep183.txt,EP,183,,,,TRUE,,,
ep184b.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/ep184b.txt,EP,184,,,,TRUE,,,
ep184.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/ep184.txt,EP,183,,,,TRUE,,,
ep185.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/ep185.txt,EP,185,,,,TRUE,,,
ep186.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/ep186.txt,EP,186,,,,TRUE,,,
EP187.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/EP187.txt,EP,187,,,,TRUE,,,
EP188.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/EP188.txt,EP,188,,,,TRUE,,,
ep189.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/ep189.txt,EP,189,,,,TRUE,,,
ep190.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/ep190.txt,EP,190,,,,TRUE,,,
ep191.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/ep191.txt,EP,191,,,,TRUE,,,
ep192.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/ep192.txt,EP,192,,,,TRUE,,,
ep193.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/ep193.txt,EP,193,,,,TRUE,,,
ep194.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/ep194.txt,EP,194,,,,TRUE,,,
ep195.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/ep195.txt,EP,195,,,,TRUE,,,
ep196.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/ep196.txt,EP,196,,,,TRUE,,,
EP197.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/EP197.txt,EP,197,,,,TRUE,,,
ep198.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/ep198.txt,EP,198,,,,TRUE,,,
ep199.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/ep199.txt,EP,199,,,,TRUE,,,
ep200.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/ep200.txt,EP,200,,,,TRUE,,,
ep201.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/ep201.txt,EP,201,,,,TRUE,,,
ep202.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/ep202.txt,EP,202,,,,TRUE,,,
ep-203.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/ep-203.txt,EP,203,,,,TRUE,,,
ep204.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/ep204.txt,EP,204,,,,TRUE,,,
ep205.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/ep205.txt,EP,205,,,,TRUE,,,
ep206.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/ep206.txt,EP,206,,,,TRUE,,,
ep207.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/ep207.txt,EP,207,,,,TRUE,,,
ep209.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/ep209.txt,EP,209,,,,TRUE,,,
ep210.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/ep210.txt,EP,210,,,,TRUE,,,
ep211.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/ep211.txt,EP,211,,,,TRUE,,,
ep212.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/ep212.txt,EP,212,,,,TRUE,,,
ep213.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/ep213.txt,EP,213,,,,TRUE,,,
ep214.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/ep214.txt,EP,214,,,,TRUE,,,
ep215.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/ep215.txt,EP,215,,,,TRUE,,,
ep216.txt,https://github.com/shownotes/shownot.es/blob/master/archive/piratenpad/ep216.txt,EP,216,,,,TRUE,,,
